IT TERM;TARGET HYPOTHESIS (DE SOUTH TYROL);IT EXAMPLE;Context DE
socio;Mitglied;Il socio è obbligato a eseguire i conferimenti determinati nel contratto sociale.;Ein Gesellschafter darf ohne Einwilligung der anderen Gesellschafter weder in dem Handelszweig der Gesellschaft Geschäfte machen noch an einer anderen gleichartigen Handelsgesellschaft als persönlich haftender Gesellschafter teilnehmen. | Bei einem Vorstand, der aus mehreren Personen besteht, erfolgt die Beschlussfassung nach den für die Beschlüsse der Mitglieder des Vereins geltenden Vorschriften der §§ 32 und 34 [BGB].
possesso;Besitz;Il possesso delle cose di cui non si può acquistare la proprietà è senza effetto.;Der Besitz wird dadurch beendigt, dass der Besitzer die tatsächliche Gewalt über die Sache aufgibt oder in anderer Weise verliert.
per procura;in Prokura;"Il titolo può essere girato con la clausola ""per incasso"" (o ""per procura"") [...].";
confessione giudiziale;gerichtlich Geständnis;La confessione giudiziale è spontanea o provocata mediante interrogatorio formale.;Zur Wirksamkeit des gerichtlichen Geständnisses ist dessen Annahme nicht erforderlich.
interrogatorio formale;förmlich Vernehmung;La confessione giudiziale è spontanea o provocata mediante interrogatorio formale.;
correttezza;Redlichkeit;Il debitore e il creditore devono comportarsi secondo le regole della correttezza.;
termine;Befristung;Il mancato rispetto del termine [...] è causa di revoca del finanziamento concesso.;Hat der Antragende für die Annahme des Antrags eine Frist bestimmt, so kann die Annahme nur innerhalb der Frist erfolgen. | Ist zwischen dem Zahlungsdienstnutzer und seinem Zahlungsdienstleister ein bestimmter Termin für die Ausführung eines Zahlungsauftrags [...] vereinbart worden, kann der Zahlungsdienstnutzer den Zahlungsauftrag bis zum Ende des Geschäftstags vor dem vereinbarten Tag widerrufen. | Der Mieter kann vom Vermieter frühestens vier Monate vor Ablauf der Befristung verlangen, dass dieser ihm binnen eines Monats mitteilt, ob der Befristungsgrund noch besteht.
ammenda;Geldbuße;Sotto la denominazione di pene pecuniarie la legge comprende: la multa e l'ammenda.;
durata della società;Dauer der Gesellschaft;L'atto costitutivo della società deve indicare [...] la durata della società [...].;
pena pecuniaria;Geldstrafe;Sotto la denominazione di pene pecuniarie la legge comprende: la multa e l'ammenda.;Die Geldstrafe wird in Tagessätzen verhängt. Sie beträgt mindestens fünf und, wenn das Gesetz nichts anderes bestimmt, höchstens dreihundertsechzig volle Tagessätze.
rinuncia al legato;Ausschlagung ein Vermächtniss;La rinuncia al legato avente per oggetto beni immobili deve farsi per atto scritto.;
computo dei termini;Berechnung der Frist;Nel computo dei termini a giorni o ad ore, si escludono il giorno o l'ora iniziali.;
membro effettivo;Vollmitglied;Il collegio sindacale si compone di tre o cinque membri effettivi, soci o non soci.;Die Klägerinnen [...] waren durchgängig Vollmitglieder des Arbeitgeberverbands.
immigrazione;Einwanderung;Lo Stato ha legislazione esclusiva nelle seguenti materie: a) [...] b) immigrazione;In der dritten Klasse werden nur befriedigt Gebühren, Zölle, Bußen und Geldstrafen auf Grund von Vorschriften über Luftfahrt, Zölle und Einwanderung.
esecutore testamentario;Willensvollzieher;Prima di procedere alla divisione l'esecutore testamentario deve sentire gli eredi.;Der Testamentsvollstrecker ist berechtigt, Verbindlichkeiten für den Nachlaß einzugehen, soweit die Eingehung zur ordnungsmäßigen Verwaltung erforderlich ist.
atto scritto;schriftlich Akt;La rinuncia al legato avente per oggetto beni immobili deve farsi per atto scritto.;Es genügt vielmehr zur Wahrung der Schriftform, daß aus dem Schriftstück in einer jeden Zweifel ausschließenden Weise ersichtlich ist, von wem die Erklärung herrührt.
oggetto del contratto;Vertragsgegenstand;L'oggetto del contratto deve essere possibile, lecito, determinato o determinabile.;
contratto bancario;Bankvertrag;I contratti bancari sono quelli in cui una delle parti è necessariamente una banca.;Mit der Eröffnung einer Kontenverbindung wird ein allgemeiner Bankvertrag zwischen dem Kunden und der Bank geschlossen, der das Rechtsverhältnis zwischen diesen beiden Vertragspartnern in seinen Grundstrukturen - nicht aber in seinen Einzelrechtsverhältnissen - regelt.
gestione domestica;Haushaltsführung;Di regola, la così detta gestione domestica è attuata, per tradizione, dalla moglie.;Die Ehegatten regeln die Haushaltsführung im gegenseitigen Einvernehmen. Ist die Haushaltsführung einem der Ehegatten überlassen, so leitet dieser den Haushalt in eigener Verantwortung.
passaporto biometrico;biometrisch Reisepass;Da oggi [26.08.2010] tutte le questure d'Italia rilasciano il passaporto biometrico.;
domicilio;Domizil;Il minore ha il domicilio nel luogo di residenza della famiglia o quello del tutore.;
rimborso dei conferimenti;Rückzahlung der Einlage;Estinti i debiti sociali, l'attivo residuo è destinato al rimborso dei conferimenti.;Zur Berichtigung der Schulden und zur Rückerstattung der Einlagen ist das Gesellschaftsvermögen, soweit erforderlich, in Geld umzusetzen.
sentenza procedurale;Prozessentscheid;La sentenza [...] procedurale allorché è relativa al solo iter procedimentale [...].;Das gericht weist die Klage ab, wenn sie für unzulässig oder für unbegründet hält. Im ersten Fall ergeht ein Prozessurteil, im zweiten ein Sachurteil.
collaudo;Abnahme;Il collaudo viene formalizzato attraverso la redazione di un apposito verbale [...].;Die Vergütung ist bei der Abnahme des Werkes zu entrichten.
ordinanza;Verfügung;La legge prescrive in quali casi il giudice pronuncia sentenza, ordinanza o decreto.;
biblioteca;Bibliothek;Sono inalienabili […] le raccolte di musei, pinacoteche, gallerie e biblioteche […].;Verbreiten dürfen Bibliotheken Vervielfältigungen eines Werkes aus ihrem Bestand an andere Bibliotheken [...] für Zwecke der Restaurierung.
conto corrente;Kontokorrentvertrag;Sono esclusi dal conto corrente i crediti che non sono suscettibili di compensazione.;
collaboratore dell'imprenditore;Mitarbeiter der Unternehmer;Il Codice civile inserisce tra i collaboratori dell'imprenditore anche i procuratori.;"An einem Vertragsschluss ""unter ausschließlicher Verwendung von Fernkommunikationsmitteln"" fehlt es, wenn der Verbraucher während der Vertragsanbahnung persönlichen Kontakt zu einem Mitarbeiter des Unternehmers oder einem vom Unternehmer bevollmächtigten Vertreter hat."
frutti;Früchte;La restituzione dei frutti non è dovuta se non dal giorno della costituzione in mora.;Wer zur Herausgabe von Früchten verpflichtet ist, kann Ersatz der auf die Gewinnung der Früchte verwendeten Kosten insoweit verlangen, als sie einer ordnungsmäßigen Wirtschaft entsprechen und den Wert der Früchte nicht übersteigen.
frutti civili;Zivilfrucht;I frutti civili si acquistano giorno per giorno, in ragione della durata del diritto.;Das gleiche Prinzip [das Trennungsprinzip] gilt grundsätzlich [..] für alle anderen Früchte , d.h. also für  mittelbaren Früchte, und für reine Rechtsfrüchte.
colori nazionali;Nationalfarbe;Vengono protetti [...] i colori nazionali raffigurati su cose diverse dalla bandiera.;Das alte Reich vor 1806 konnte keine Nationalfarben entwickeln, da die Voraussetzung der Staatseinheit fehlte. Als kaiserl. Farben galten Schwarz-Gelb, die mit der Kaiserwürde in Österreich bis 1918 weiterbestanden.
vendita delle azioni;Aktienverkauf;L'emissione e la vendita delle azioni prima dell'iscrizione della società sono nulle.;
istanza di procedimento;Strafantrag;L'istanza di procedimento è proposta dalla persona offesa con le forme della querela.;Handelt es sich bei einer Anzeige (im engen Sinne) lediglich um eine Anregung an die Strafverfolgungsorgane, die ggf. den Verfolgungszwang auslöst, wird mit dem Strafantrag darüber hinaus ein Interesse an der Strafverfolgung geäußert.
prestazione indivisibile;unteilbar Leistung;Ciascuno dei creditori può esigere l'esecuzione dell'intera prestazione indivisibile.;
usucapione;Ersitzung;Se il possessore è di mala fede, l'usucapione si compie con il decorso di venti anni.;Die Ersitzung ist ausgeschlossen, wenn der Erwerber bei dem Erwerb des Eigenbesitzes nicht in gutem Glauben ist oder wenn er später erfährt, dass ihm das Eigentum nicht zusteht.
procura generale;Generalvollmacht;La procura generale comprende, di regola, solo gli atti di ordinaria amministrazione.;
delitto contro l'onore;Straftat gegen der Ehre;Il codice vigente configura due delitti contro l'onore: l'ingiuria e la diffamazione.;
distribuzione;Verteilung;L'assemblea che approva il bilancio delibera sulla distribuzione degli utili ai soci.;
deposito;Verwahrungsvertrag;Dal contratto di deposito sorge l'obbligazione principale di custodire per restituire.;Wird die Aufbewahrung unentgeltlich übernommen, so hat der Verwahrer nur für diejenige Sorgfalt einzustehen, welche er in eigenen Angelegenheiten anzuwenden pflegt. | Das Interesse an der Verwahrung liegt [...] bei demjenigen, der den unmittelbaren Besitz weggibt, also beim Hinterleger: er ist der Last der Aufbewahrung enthoben, während der Verwahrer kein Benutzungsrecht erlangt. | Durch den Verwahrungsvertrag wird der Verwahrer verpflichtet, eine ihm von dem Hinterleger übergebene bewegliche Sache aufzubewahren.
progetto definitivo;endgültig Projekt;L'affidamento in concessione può essere effettuato sulla base del progetto definitivo.;
remissione del debito;Schulderlass;La rinunzia alle garanzie dell'obbligazione non fa presumere la remissione del debito.;
rischio;Risiko;L'affittuario può, con patto espresso, assumere il rischio dei casi fortuiti ordinari.;
accettazione espressa;ausdrücklich Annahmeerklärung;L'accettazione espressa può essere pura e semplice ovvero col beneficio di inventario.;
quorum;Quorum;Nel calcolo della maggioranza occorre tenere presente il numero legale o quorum [...].;Ein Quorum ist bei der Gesellschafter- bzw. Hauptversammlung der Kapitalgesellschaften gesetzlich nicht vorgeschrieben, kann aber in der Satzung verlangt werden.
estraneo;unbeteiligt;Quando l'interessato è assente o estraneo al processo, il giudice provvede di ufficio.;
numero legale;Beschlussfähigkeit;Nel calcolo della maggioranza occorre tenere presente il numero legale o quorum [...].;Gehört dem Aufsichtsrat die zur Beschlußfähigkeit nötige Zahl von Mitgliedern nicht an, so hat ihn das Gericht auf Antrag des Vorstands, eines Aufsichtsratsmitglieds oder eines Aktionärs auf diese Zahl zu ergänzen.
diritto di ispezione;Einsichtsrecht;Agli azionisti è riconosciuto un limitato diritto di ispezione dei libri sociali [...].;
pignoramento;Pfändung;Il pignoramento comprende gli accessori, le pertinenze e i frutti della cosa pignorata.;Hat ein Gläubiger eines Gesellschafters die Pfändung des Anteils des Gesellschafters an dem Gesellschaftsvermögen erwirkt, so kann er die Gesellschaft ohne Einhaltung einer Kündigungsfrist kündigen, sofern der Schuldtitel nicht bloß vorläufig vollstreckbar ist.
filiazione naturale;unehelich Abstammung;La sentenza che dichiara la filiazione naturale produce gli effetti del riconoscimento.;
ordine pubblico;Grundwertung der Rechtsordnung -- ordre public --;La legge straniera non è applicata se i suoi effetti sono contrari all'ordine pubblico.;Eingriffe und Beschränkungen dürfen im übrigen nur zur Abwehr einer gemeinen Gefahr oder einer Lebensgefahr für einzelne Personen, auf Grund eines Gesetzes auch zur Verhütung dringender Gefahren für die öffentliche Sicherheit und Ordnung [...] vorgenommen werden. | [D]ie Nichtanerkennung des deutschen Scheidungsurteils auf Grund des spanischen ordre public kann aus der Sicht der deutschen Rechtsordnung nicht hingenommen werden, da es sich um die Beurteilung eines rein inlandsbezogenen Sachverhalts handelt.
cognome da nubile;Mädchenname;Per le donne coniugate o vedove le schede devono essere intestate al cognome da nubile.;"Die Ehegatten sollen bei Eingehung der Ehe nach § 1355 Abs.1 S.1 und 2 einen gemeinsamen Familiennamen bestimmen (vgl. auch § 6 Abs.1 S.3 PStG). Dies kann gem. § 1355 Abs.2 entweder der Geburtsname der Frau oder des Mannes sein; ein Doppelname ist nicht zulässig."
dilazione;Verzögerung;La dilazione concessa gratuitamente dal creditore non è di ostacolo alla compensazione.;
estintore ad acqua;Wasserfeuerlöscher;Gli estintori ad acqua NON possono essere utilizzati su impianti elettrici in tensione.;In Arbeitsbereichen, in denen Beschäftigte durch feuerflüssige Massen oder Flammen gefährdet sind, müssen Einrichtungen zum Löschen brennender Kleidung vorhanden sein. Dafür sind vor allem Notduschen und Wasserlöscher geeignet. | Leicht erreichbare CO2-Handfeuerlöscher müssen [beim Senkerodieren] bereitgehalten werden. Wasserfeuerlöscher sind ungeeignet.
condizione potestativa;potestativ Bedingung;La condizione potestativa non va confusa con la condizione meramente potestativa [...].;"Zur Bedingung kann endlich eine Entscheidung eines an dem Rechtsgeschäft Beteiligten gemacht werden; das ist die sogenannte Potestativbedingung (Willkürbedingung). | [S]ogar das freie Belieben einer Partei [kann] zur Bedingung eines Rechtsgeschäfts gemacht werden, sogenannte Potestativbedingung [...]. Ein Rechtsgeschäft mit einer derartigen Wollensbedingung wird aber nur ausnahmsweise [...] anzunehmen sein [...]."
interessi moratori;Verzugszins;[Il risarcimento] non è dovuto se è stata convenuta la misura degli interessi moratori.;Als Mindestschaden können [beim Verzug] ohne weiteren Nachweis von einer Geldschuld mindestens [...] 4% Verzugszinsen, unter Kaufleuten 5% verlangt werden.
debito di scommessa;Wettschuld;Non compete azione per il pagamento di un debito di giuoco o di scommessa non proibiti.;
arbitro;Schiedsrichter;Non può essere arbitro chi è privo, in tutto o in parte, della capacità legale di agire.;Eine Person, der ein Schiedsrichteramt angetragen wird, hat alle Umstände offen zu legen, die Zweifel an ihrer Unparteilichkeit oder Unabhängigkeit wecken können. Ein Schiedsrichter ist auch nach seiner Bestellung bis zum Ende des schiedsrichterlichen Verfahrens verpflichtet, solche Umstände den Parteien unverzüglich offen zu legen, wenn er sie ihnen nicht schon vorher mitgeteilt hat.
recesso volontario del socio;Austritt der Gesellschafter;[I]l recesso deve essere comunicato agli altri soci con un preavviso di almeno tre mesi.;"Ausscheiden ist nur möglich, wenn entweder der Gesellschaftsvertrag dem Gesellschafter die Befugnis dazu gibt oder alle übrigen Gesellschafter ihr Einverständnis erklären. | Der zum Austritt berechtigte Arbeitnehmer kann vond der Gesellschaft als Abfindung den Verkehrswert seines Geschäftsanteils verlangen; maßgebend ist der Verkehrswert im Zeitpunkt des Zugangs der Kündigungserklärung."
